Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
317,20.0,20.0,20.0,1.0,1.1556,0.0,-0.055
318,0.0,-20.0,-20.0,-1.0,1.387,0.0,-0.005
319,20.0,20.0,20.0,-1.0,0.884,0.0,-0.005
320,0.0,-20.0,-20.0,-1.0,1.7514,0.0,-0.005
321,20.0,20.0,20.0,0.287,1.0856,0.0,-0.055
322,0.0,-20.0,-20.0,1.0,1.5435,0.0,-0.055
323,20.0,20.0,20.0,1.0,0.9084,0.0,-0.055
324,0.0,-20.0,-20.0,0.654,1.2564,0.0,-0.055
325,0.0,-20.0,-20.0,-1.0,1.415,0.0,-0.005
326,0.0,-20.0,-20.0,1.0,1.5816,0.0,-0.055
327,8.191,8.191,8.191,1.0,1.3297,0.0,-0.055
328,28.191,20.0,20.0,1.0,1.1152,0.0,-0.055
329,8.191,-20.0,-20.0,-1.0,1.3664,0.0,-0.005
330,28.191,20.0,20.0,-1.0,0.9366,0.0,-0.005
331,48.191,20.0,20.0,-1.0,0.4407,0.0,-0.005
332,28.191,-20.0,-20.0,-1.0,0.9078,0.0,-0.005
333,48.191,20.0,20.0,-1.0,0.6479,0.0,-0.005
334,28.191,-20.0,-20.0,1.0,0.9639,0.0,-0.055
335,8.191,-20.0,-20.0,-0.643,1.2964,0.0,-0.005
336,28.191,20.0,20.0,-1.0,1.0558,0.0,-0.005
337,48.191,20.0,20.0,-1.0,0.7953,0.0,-0.005
338,68.191,20.0,20.0,-1.0,0.2754,0.0,-0.005
339,88.191,20.0,20.0,1.0,0.4915,0.0,-0.055
340,108.191,20.0,20.0,1.0,0.4892,0.0,-0.055
341,88.191,-20.0,-20.0,-1.0,0.0776,0.0,-0.005
342,108.191,20.0,20.0,-1.0,-0.4943,0.0,-0.005
343,88.191,-20.0,-20.0,1.0,-0.1056,0.0,-0.055
344,68.191,-20.0,-20.0,-1.0,-0.0674,0.0,-0.005
345,48.191,-20.0,-20.0,-1.0,0.4568,0.0,-0.005
346,32.844,-15.347,-15.347,1.0,0.2914,0.0,-0.055
