episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
416,1096.325,500,235,11,22.545454545454547,nan,499.020447,nan
417,1096.265,500,247,11,22.545454545454547,nan,548.890808,nan
418,1096.315,500,237,11,23.90909090909091,nan,518.194092,nan
419,1196.445,500,211,12,21.083333333333332,nan,552.168274,nan
420,1096.43,500,214,11,22.272727272727273,nan,501.906525,nan
421,996.45,500,210,10,23.9,nan,454.041779,nan
422,1196.41,500,218,12,20.583333333333332,nan,557.702393,nan
423,996.36,500,228,10,23.8,nan,465.471741,nan
424,1096.475,500,205,11,21.90909090909091,nan,484.016113,nan
425,1096.53,500,194,11,22.454545454545453,nan,514.727234,nan
426,1096.51,500,198,11,25.09090909090909,nan,493.129761,nan
427,1096.54,500,192,11,24.454545454545453,nan,501.380676,nan
428,996.435,500,213,10,24.4,nan,470.004181,nan
429,1096.535,500,193,11,23.363636363636363,nan,515.415161,nan
430,1096.46,500,208,11,20.636363636363637,nan,526.691772,nan
431,1096.555,500,189,11,22.272727272727273,nan,496.136505,nan
432,1096.51,500,198,11,21.363636363636363,nan,501.440338,nan
433,1096.505,500,199,11,21.636363636363637,nan,529.701904,nan
434,1196.48,500,204,12,20.0,nan,553.614868,nan
435,1096.48,500,204,11,21.272727272727273,nan,510.950928,nan
436,1096.58,500,184,11,23.454545454545453,nan,501.933746,nan
437,1096.5,500,200,11,21.181818181818183,nan,483.022064,nan
438,996.58,500,184,10,25.0,nan,446.216187,nan
439,1096.43,500,214,11,20.09090909090909,nan,505.988342,nan
440,1096.5,500,200,11,21.09090909090909,nan,498.071869,nan
441,1096.55,500,190,11,23.272727272727273,nan,521.51593,nan
442,996.49,500,202,10,22.1,nan,467.804749,nan
443,1096.5,500,200,11,21.90909090909091,nan,513.310486,nan
444,1096.5,500,200,11,21.727272727272727,nan,493.222687,nan
445,1196.475,500,205,12,20.333333333333332,nan,573.710571,nan
446,1096.485,500,203,11,20.636363636363637,nan,503.282623,nan
447,1196.495,500,201,12,22.5,nan,564.802368,nan
448,1096.35,500,230,11,21.545454545454547,nan,499.293945,nan
449,1096.45,500,210,11,20.727272727272727,nan,517.161072,nan
450,1196.495,500,201,12,20.0,nan,542.664185,nan
451,1196.43,500,214,12,20.833333333333332,nan,551.313232,nan
452,1096.5,500,200,11,22.818181818181817,nan,513.367065,nan
453,1096.51,500,198,11,21.636363636363637,nan,511.031128,nan
454,1096.525,500,195,11,18.818181818181817,nan,493.843262,nan
455,1096.395,500,221,11,20.272727272727273,nan,502.656342,nan
456,1196.465,500,207,12,19.833333333333332,nan,563.792114,nan
457,1196.45,500,210,12,20.666666666666668,nan,544.811401,nan
